cluster,n_seqs,pct_of_total,has_wt,mean_mismatch_pct,cos_sim_to_wt,mech_diversity,mean_pred,std_pred
0,64,0.26,False,1.05,0.970472,0.029528,6.201687,0.088002
1,874,3.5,False,0.82,0.998495,0.001505,6.294844,0.064115
2,44,0.18,False,1.19,0.811009,0.188991,5.799879,0.097971
3,264,1.06,False,1.07,0.978915,0.021085,6.187299,0.095625
4,141,0.56,False,1.05,0.990476,0.009524,6.295779,0.106986
5,96,0.38,False,1.08,0.982135,0.017865,6.085171,0.099503
6,177,0.71,False,1.05,0.990311,0.009689,6.261757,0.09553
7,506,2.02,False,1.08,0.962705,0.037295,6.124967,0.099238
8,5,0.02,False,1.08,0.810904,0.189096,6.114907,0.04893
9,957,3.83,False,1.03,0.984024,0.015976,6.213282,0.089906
10,435,1.74,False,1.04,0.995344,0.004656,6.226271,0.081423
11,300,1.2,False,1.05,0.986677,0.013323,6.146844,0.101405
12,86,0.34,False,1.03,0.878275,0.121725,5.934469,0.116557
13,3,0.01,False,1.2,0.976485,0.023515,6.18372,0.08428
14,62,0.25,False,1.05,0.984663,0.015337,6.284468,0.092757
15,65,0.26,False,1.14,0.962068,0.037932,6.079499,0.119544
16,733,2.93,False,1.04,0.992909,0.007091,6.235929,0.085339
17,66,0.26,False,1.14,0.955587,0.044413,5.987389,0.109347
18,75,0.3,False,1.07,0.960752,0.039248,6.395368,0.107457
19,618,2.47,False,1.04,0.995381,0.004619,6.245496,0.082803
20,137,0.55,False,1.12,0.961219,0.038781,6.070712,0.105484
21,222,0.89,False,1.02,0.994703,0.005297,6.205095,0.081232
22,76,0.3,False,1.04,0.951609,0.048391,6.361398,0.126536
23,560,2.24,False,1.05,0.991937,0.008063,6.24169,0.081052
24,847,3.39,False,0.86,0.997967,0.002033,6.298666,0.071221
25,217,0.87,False,1.05,0.993136,0.006864,6.241955,0.090727
26,336,1.34,False,1.03,0.996028,0.003972,6.23675,0.086945
27,307,1.23,False,1.08,0.844075,0.155925,5.891687,0.097441
28,76,0.3,False,1.08,0.943779,0.056221,6.28396,0.101079
29,375,1.5,False,1.04,0.989129,0.010871,6.164316,0.093226
30,72,0.29,False,1.09,0.85139,0.14861,5.905993,0.091148
31,145,0.58,False,1.08,0.798998,0.201002,5.816257,0.105378
32,63,0.25,False,1.03,0.983004,0.016996,6.30601,0.102052
33,250,1.0,False,1.05,0.994595,0.005405,6.201969,0.095187
34,36,0.14,False,1.13,0.867258,0.132742,5.785475,0.107421
35,1,0.0,False,0.9,0.918467,0.081533,6.553974,0.0
36,202,0.81,False,1.06,0.954852,0.045148,6.095427,0.103166
37,63,0.25,False,1.05,0.897523,0.102477,6.009439,0.0986
38,8,0.03,False,1.15,0.962375,0.037625,6.298421,0.077714
39,14,0.06,False,1.12,0.863307,0.136693,5.805752,0.158421
40,159,0.64,False,1.08,0.991118,0.008882,6.363467,0.075854
41,73,0.29,False,1.05,0.946656,0.053344,6.076852,0.100746
42,1008,4.03,False,0.85,0.99829,0.00171,6.289645,0.069138
43,80,0.32,False,1.08,0.977223,0.022777,6.288752,0.096315
44,584,2.34,False,1.02,0.996908,0.003092,6.234188,0.076332
45,63,0.25,False,1.05,0.979333,0.020667,6.316033,0.086134
46,84,0.34,False,1.02,0.962818,0.037182,6.362895,0.111483
47,269,1.08,False,1.01,0.99732,0.00268,6.225385,0.083388
48,438,1.75,False,1.05,0.995561,0.004439,6.226045,0.077237
49,315,1.26,False,1.11,0.981193,0.018807,6.131372,0.107785
50,65,0.26,False,1.06,0.975368,0.024632,6.206732,0.099382
51,412,1.65,False,1.07,0.991224,0.008776,6.21983,0.091336
52,235,0.94,False,1.12,0.988621,0.011379,6.14792,0.098634
53,732,2.93,True,0.83,1.0,0.0,6.30221,0.064175
54,449,1.8,False,1.02,0.995371,0.004629,6.207306,0.083916
55,177,0.71,False,1.08,0.914768,0.085232,5.992592,0.120233
56,342,1.37,False,1.08,0.985845,0.014155,6.127845,0.099157
57,874,3.5,False,0.87,0.99759,0.00241,6.291305,0.070135
58,59,0.24,False,1.14,0.961368,0.038632,6.091325,0.097776
59,279,1.12,False,1.04,0.965988,0.034012,6.133152,0.088196
60,240,0.96,False,1.07,0.908878,0.091122,5.984453,0.101742
61,63,0.25,False,1.03,0.945742,0.054258,6.387786,0.083956
62,72,0.29,False,1.08,0.974666,0.025334,6.277476,0.097232
63,411,1.64,False,1.02,0.995086,0.004914,6.219472,0.087416
64,141,0.56,False,1.07,0.992053,0.007947,6.398138,0.080912
65,649,2.6,False,0.98,0.998494,0.001506,6.264872,0.083349
66,146,0.58,False,1.16,0.975191,0.024809,6.120783,0.107427
67,133,0.53,False,1.03,0.992559,0.007441,6.368501,0.081231
68,1,0.0,False,0.99,0.815334,0.184666,6.231923,0.0
69,97,0.39,False,1.11,0.840371,0.159629,5.814827,0.134632
70,59,0.24,False,1.07,0.981709,0.018291,6.323707,0.087787
71,68,0.27,False,1.14,0.982829,0.017171,6.051417,0.104169
72,438,1.75,False,1.01,0.996376,0.003624,6.313636,0.08423
73,172,0.69,False,1.13,0.989374,0.010626,6.140732,0.089547
74,133,0.53,False,1.12,0.953365,0.046635,6.035565,0.102337
75,6,0.02,False,1.16,0.738119,0.261881,5.612246,0.131999
76,178,0.71,False,1.1,0.990156,0.009844,6.125451,0.095398
77,572,2.29,False,1.05,0.963865,0.036135,6.153553,0.091248
78,320,1.28,False,1.07,0.989736,0.010264,6.181843,0.090623
79,67,0.27,False,1.06,0.985482,0.014518,6.205076,0.096209
80,102,0.41,False,1.14,0.960268,0.039732,6.050476,0.110959
81,15,0.06,False,1.08,0.922443,0.077557,6.300902,0.081973
82,87,0.35,False,1.12,0.939853,0.060147,6.013976,0.111863
83,276,1.1,False,1.05,0.993297,0.006703,6.169931,0.094845
84,105,0.42,False,1.09,0.951306,0.048694,6.032099,0.109268
85,440,1.76,False,1.02,0.993928,0.006072,6.209517,0.084562
86,30,0.12,False,1.13,0.771576,0.228424,5.589082,0.107241
87,83,0.33,False,1.14,0.979091,0.020909,6.157177,0.092489
88,112,0.45,False,1.07,0.982258,0.017742,6.358879,0.093821
89,980,3.92,False,0.84,0.998474,0.001526,6.296726,0.066894
90,122,0.49,False,1.1,0.975524,0.024476,6.066521,0.092977
91,82,0.33,False,1.02,0.990194,0.009806,6.407461,0.082122
92,683,2.73,False,1.04,0.996236,0.003764,6.246522,0.076832
93,168,0.67,False,1.04,0.980887,0.019113,6.105029,0.11241
94,273,1.09,False,1.05,0.996252,0.003748,6.227964,0.086518
95,55,0.22,False,1.06,0.963885,0.036115,6.227928,0.072124
96,936,3.74,False,0.88,0.998697,0.001303,6.293046,0.068085
97,74,0.3,False,1.09,0.837941,0.162059,5.806076,0.115469
98,68,0.27,False,1.08,0.979797,0.020203,6.309326,0.085835
99,68,0.27,False,1.1,0.92348,0.07652,6.429289,0.106999
